"Latest: Time (s)","Latest: Position (m)","Latest: Velocity (m/s)","Latest: Acceleration (m/s²)"
9.15,0.2088184,-0.0920764444444,-0.46775037037
9.2,0.2038792,-0.102442666667,-0.142281481481
9.25,0.1981168,-0.0992413333333,0.065212345679
9.3,0.1942752,-0.0969546666667,0.274484691358
9.35,0.1874152,-0.0748502222222,0.52694962963
9.4,0.1863176,-0.0407026666667,0.709798271605
9.45,0.1832992,-0.002744,0.84378
9.5,0.18522,0.0503066666667,0.814476790123
9.55,0.1890616,0.0876555555556,0.584200987654
9.6,0.1942752,0.115248,0.217233333333
9.65,0.2022328,0.10976,-0.168112345679
9.7,0.2058,0.0888751111111,-0.388140493827
9.75,0.2104648,0.0736306666667,-0.627562962963
9.8,0.2148552,0.0271351111111,-0.84979308642
9.85,0.2132088,-0.0214946666667,-0.865376296296
9.9,0.2123856,-0.0649413333333,-0.736306666667
9.95,0.2066232,-0.102290222222,-0.439717530864
10,0.2008608,-0.112351555556,-0.0629256790123
10.05,0.194824,-0.106101333333,0.269149135802
10.1,0.1896104,-0.0838444444444,0.546005185185
10.15,0.1854944,-0.0437515555556,0.673889135802
10.2,0.1860432,-0.0126528888889,0.711576790123
10.25,0.1841224,0.0202751111111,0.824639753086
10.3,0.1863176,0.0807955555556,0.721485679012
10.35,0.1942752,0.104576888889,0.377808148148
10.4,0.1972936,0.114485777778,0.061655308642
10.45,0.2058,0.114790666667,-0.329872839506
10.5,0.2104648,0.0806431111111,-0.676853333333
10.55,0.214032,0.039788,-0.858177530864
10.6,0.2151296,-0.0140248888889,-0.844880987654
10.65,0.2118368,-0.0532031111111,-0.653139753086
10.7,0.2088184,-0.0742404444444,-0.513144938272
10.75,0.2052512,-0.104424444444,-0.346387654321
10.8,0.1978424,-0.120431111111,0.0223585185185
10.85,0.1915312,-0.103662222222,0.420323209877
10.9,0.1868664,-0.0704293333333,0.674990123457
10.95,0.1843968,-0.0312511111111,0.811766666667
11,0.1835736,0.0128053333333,0.864698765432
11.05,0.1854944,0.0591484444444,0.797538518519
11.1,0.189336,0.103204888889,0.521698765432
11.15,0.1972936,0.118296888889,0.133134814815
11.2,0.2027816,0.1029,-0.00381111111112
11.25,0.2063488,0.105186666667,0.0797369135802
11.3,0.2129344,0.117077333333,0.164809382716
